env_name,config_path,alpha,gap,kappa,discount,batch_size,seed,run_dir,stage1_completed,metric_name,best_metric_upto_200,metric_at_200,continued_to_400,best_metric_upto_400,final_metric_400,idm_best_upto_200,actor_best_upto_200,idm_final_400,actor_final_400,status,notes
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap10p0_k0p6.yaml,0.3,10.0,0.6,0.99,1024,0,runs/20260519_135818_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.12,0.12,false,,,0.15,0.12,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap10p0_k0p7.yaml,0.3,10.0,0.7,0.99,1024,0,runs/20260519_144436_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.0,0.0,false,,,0.0,0.0,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap10p0_k0p8.yaml,0.3,10.0,0.8,0.99,1024,0,runs/20260519_153140_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.01,0.01,false,,,0.0,0.01,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap10p0_k0p9.yaml,0.3,10.0,0.9,0.99,1024,0,runs/20260519_161847_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.18,0.18,false,,,0.1,0.18,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap20p0_k0p6.yaml,0.3,20.0,0.6,0.99,1024,0,runs/20260519_170506_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.1,0.1,false,,,0.03,0.1,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap20p0_k0p7.yaml,0.3,20.0,0.7,0.99,1024,0,runs/20260519_175145_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.0,0.0,false,,,0.0,0.0,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap20p0_k0p8.yaml,0.3,20.0,0.8,0.99,1024,0,runs/20260519_183843_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.18,0.18,false,,,0.09,0.18,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap20p0_k0p9.yaml,0.3,20.0,0.9,0.99,1024,0,runs/20260519_192453_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.0,0.0,false,,,0.0,0.0,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap5p0_k0p6.yaml,0.3,5.0,0.6,0.99,1024,0,runs/20260519_201201_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.07,0.07,false,,,0.03,0.07,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap5p0_k0p7.yaml,0.3,5.0,0.7,0.99,1024,0,runs/20260519_205850_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.03,0.03,false,,,0.1,0.03,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap5p0_k0p8.yaml,0.3,5.0,0.8,0.99,1024,0,runs/20260519_214557_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.14,0.14,false,,,0.04,0.14,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p3_gap5p0_k0p9.yaml,0.3,5.0,0.9,0.99,1024,0,runs/20260519_223239_seed0_puzzle-3x3-play-v0,true,eval_idm/success_rate_mean,0.04,0.02,false,,,0.02,0.0,,,ok,phase2_200ep_only
puzzle-3x3-play-v0,/home/svcho/douri/config/grid_fbr_displacement_puzzle/puzzle_3x3_a0p5_gap10p0_k0p6.yaml,0.5,10.0,0.6,0.99,1024,0,runs/20260519_231951_seed0_puzzle-3x3-play-v0,true,eval/success_rate_mean,0.06,0.06,false,,,0.1,0.06,,,ok,phase2_200ep_only
